date,auction_month,auction_year,incoming_bio_log,awarded_bio_log,bid_to_cover,Random Forest (Rp T),Gradient Boosting (Rp T),AdaBoost (Rp T),Stepwise Regression (Rp T),Ensemble Mean (Rp T)
01/10/2017,10.0,2017.0,5.15156841,4.885643872,1.844694862,,,,,
01/11/2017,11.0,2017.0,4.828780374,4.503109437,2.116756672,,,,,
01/01/2018,1.0,2018.0,5.425167752,4.955110231,2.951600132,,,,,
01/02/2018,2.0,2018.0,5.080718098,4.796921075,1.922193139,,,,,
01/03/2018,3.0,2018.0,5.01589098,4.764533714,1.78384562,,,,,
01/04/2018,4.0,2018.0,4.881522742,4.614252221,1.850420882,,,,,
01/05/2018,5.0,2018.0,4.781424323,4.394364113,2.438148819,,,,,
01/06/2018,6.0,2018.0,4.561738041,4.226831811,2.162251616,,,,,
01/07/2018,7.0,2018.0,5.105515294,4.80706124,1.988172462,,,,,
01/08/2018,8.0,2018.0,5.076867179,4.680652732,2.490086578,,,,,
01/09/2018,9.0,2018.0,5.029858806,4.661982964,2.33279106,,,,,
01/10/2018,10.0,2018.0,5.095134467,4.7478389,2.224823519,,,,,
01/11/2018,11.0,2018.0,5.04974506,4.592343335,2.86682858,,,,,
01/01/2019,1.0,2019.0,5.305020793,4.979980633,2.113684487,,,,,
01/02/2019,2.0,2019.0,5.307969439,4.814513952,3.114981607,,,,,
01/03/2019,3.0,2019.0,5.232191031,4.784474644,2.803602169,,,,,
01/04/2019,4.0,2019.0,5.092745551,4.765519543,2.124349691,,,,,
01/05/2019,5.0,2019.0,4.968950147,4.630224411,2.181351919,,,,,
01/06/2019,6.0,2019.0,4.977670572,4.505149978,2.968387497,,,,,
01/07/2019,7.0,2019.0,5.325151409,4.911956189,2.589376606,,,,,
01/08/2019,8.0,2019.0,4.978016541,4.684216795,1.966979102,,,,,
01/09/2019,9.0,2019.0,5.112725622,4.742725131,2.344231464,,,,,
01/10/2019,10.0,2019.0,5.334070156,4.860876796,2.972989392,,,,,
01/11/2019,11.0,2019.0,5.186991066,4.800373355,2.435665873,,,,,
01/01/2020,1.0,2020.0,5.45114096,4.740362689,5.137812731,,,,,
01/02/2020,2.0,2020.0,5.549175719,4.736396502,6.497992664,,,,,
01/03/2020,3.0,2020.0,5.331584788,4.853515697,3.006554573,,,,,
01/04/2020,4.0,2020.0,5.089518311,4.786396461,2.009656581,,,,,
01/05/2020,5.0,2020.0,5.044192343,4.544688022,3.158670473,,,,,
01/06/2020,6.0,2020.0,5.518014082,4.926085087,3.907770005,,,,,
01/07/2020,7.0,2020.0,5.333956642,4.809559715,3.345006202,,,,,
01/08/2020,8.0,2020.0,5.436954155,4.809559715,4.240279071,,,,,
01/09/2020,9.0,2020.0,5.248851272,4.84135947,2.555593657,,,,,
01/10/2020,10.0,2020.0,5.25347249,4.919601024,2.157105898,,,,,
01/11/2020,11.0,2020.0,5.339498347,4.869818208,2.94903644,,,,,
01/12/2020,12.0,2020.0,5.086608233,4.501606922,3.845929426,,,,,
01/01/2021,1.0,2021.0,5.335612735,5.005609445,2.137978284,,,,,
01/02/2021,2.0,2021.0,5.289998753,4.91378737,2.37799744,,,,,
01/03/2021,3.0,2021.0,5.313234292,4.932802912,2.401216836,,,,,
01/04/2021,4.0,2021.0,5.137571521,4.86189269,1.886595658,,,,,
01/05/2021,5.0,2021.0,4.991531304,4.628899564,2.304792009,,,,,
01/06/2021,6.0,2021.0,5.460017994,4.989004616,2.958103589,,,,,
01/07/2021,7.0,2021.0,5.457510848,4.971507782,3.061985052,,,,,
01/08/2021,8.0,2021.0,5.60755163,5.021189299,3.858000956,,,,,
01/09/2021,9.0,2021.0,5.382882426,4.691081492,4.918140528,,,,,
01/10/2021,10.0,2021.0,5.340777937,4.414973348,8.429553843,,,,,
01/11/2021,11.0,2021.0,4.687503099,3.602059991,12.174275,,,,,
01/01/2022,1.0,2022.0,5.408348695,4.857332496,3.556445834,,,,,
01/02/2022,2.0,2022.0,5.325793063,4.832508913,3.113752938,,,,,
01/03/2022,3.0,2022.0,5.267111158,4.814580516,2.834853642,,,,,
01/04/2022,4.0,2022.0,4.871485367,4.472283879,2.507272217,,,,,
01/05/2022,5.0,2022.0,4.993953108,4.625950046,2.333474516,,,,,
01/06/2022,6.0,2022.0,5.039485108,4.688197278,2.245369556,,,,,
01/07/2022,7.0,2022.0,4.897365886,4.574818075,2.101589117,,,,,
01/08/2022,8.0,2022.0,5.333875715,4.91619066,2.616285023,,,,,
01/09/2022,9.0,2022.0,5.068113845,4.653357254,2.598702657,,,,,
01/10/2022,10.0,2022.0,4.658447381,4.36209183,1.978588821,,,,,
01/11/2022,11.0,2022.0,4.897856822,4.597003713,1.999185574,,,,,
01/12/2022,12.0,2022.0,4.441925965,4.190331698,1.784819355,,,,,
01/01/2023,1.0,2023.0,5.301982661,4.969415912,2.150635195,,,,,
01/02/2023,2.0,2023.0,5.20046745,4.819543936,2.403939394,,,,,
01/03/2023,3.0,2023.0,5.09856655,4.792391689,2.023833873,,,,,
01/04/2023,4.0,2023.0,4.843605227,4.39880773,2.784822356,,,,,
01/05/2023,5.0,2023.0,5.341181393,4.662757832,4.768958699,,,,,
01/06/2023,6.0,2023.0,5.3328909,4.633468456,5.005211623,,,,,
01/07/2023,7.0,2023.0,5.137244891,4.579783597,3.609618422,,,,,
01/08/2023,8.0,2023.0,5.116115065,4.55291145,3.657662374,,,,,
01/09/2023,9.0,2023.0,5.033105558,4.662757832,2.346106519,,,,,
01/10/2023,10.0,2023.0,4.974397002,4.661133747,2.057137185,,,,,
01/11/2023,11.0,2023.0,5.067624257,4.700011062,2.331380688,,,,,
01/12/2023,12.0,2023.0,4.862583335,4.507045872,2.267448661,,,,,
01/01/2024,1.0,2024.0,5.366758309,4.971971276,2.481915736,,,,,
01/02/2024,2.0,2024.0,5.196458067,4.852174904,2.209444835,,,,,
01/03/2024,3.0,2024.0,5.111921523,4.819412311,1.961142773,,,,,
01/04/2024,4.0,2024.0,4.822609344,4.424473273,2.501128879,,,,,
01/05/2024,5.0,2024.0,5.110699112,4.767078651,2.206075953,,,,,
01/06/2024,6.0,2024.0,5.151966174,4.799685091,2.250510705,,,,,
01/07/2024,7.0,2024.0,5.245338175,4.852382388,2.471472524,,,,,
01/08/2024,8.0,2024.0,5.328224412,4.819543936,3.226119695,,,,,
01/09/2024,9.0,2024.0,5.211654401,4.792391689,2.625806454,,,,,
01/10/2024,10.0,2024.0,5.184158881,4.932473765,1.785192758,,,,,
01/11/2024,11.0,2024.0,4.985022532,4.788875116,1.570895936,,,,,
01/12/2024,12.0,2024.0,4.887185041,4.654176542,1.71004878,,,,,
01/01/2025,1.0,2025.0,5.081710508,4.858537198,1.671757616,,,,,
01/02/2025,2.0,2025.0,5.324796306,4.903089987,2.640622497,,,,,
01/03/2025,3.0,2025.0,5.202018895,4.84509804,2.274682859,,,,,
01/04/2025,4.0,2025.0,5.165172779,4.716003344,2.812998078,,,,,
01/05/2025,5.0,2025.0,5.382553542,4.880813592,3.174972366,,,,,
01/06/2025,6.0,2025.0,5.370756537,4.903089987,2.935394999,,,,,
01/07/2025,7.0,2025.0,5.631745235,5.079181246,3.569143332,,,,,
01/08/2025,8.0,2025.0,5.561665481,4.919078092,4.391242172,,,,,
01/09/2025,9.0,2025.0,5.501829623,4.926085087,3.764822766,,,,,
01/10/2025,10.0,2025.0,5.549375565,4.880813592,4.661889472,,,,,
01/11/2025,11.0,2025.0,5.387922045,4.880813592,3.214463159,,,,,
01/12/2025,12.0,2025.0,5.183848422,4.681241237,3.18131875,,,,,
,1.0,2026.0,,,,295927.4618248364,357011.1975813337,285577.4307904104,353896.51563058345,321452.5083460197
,2.0,2026.0,,,,294768.4380057462,359298.5704795789,285577.4307904104,341882.84731950425,318885.2386033534
,3.0,2026.0,,,,230123.36527509327,194017.0826261715,234335.7532561923,169612.50805877743,205245.80029104938
,4.0,2026.0,,,,288873.2269602056,326539.9250546346,282115.10446148197,318964.15262750915,303530.92775462614
,5.0,2026.0,,,,295846.8702617106,323888.2752450177,282115.10446148197,308134.3545823114,302104.4807103897
,6.0,2026.0,,,,307651.9864832578,370110.23211788863,285577.4307904104,401127.18548076885,337947.46919844655
,7.0,2026.0,,,,310368.6127455266,350885.4428516636,282115.10446148197,289475.65513845714,307093.3292023578
,8.0,2026.0,,,,311861.56745312054,392888.63648007024,282115.10446148197,282210.3007872714,314273.4053765457
,9.0,2026.0,,,,298790.9690833604,352027.4999894515,285577.4307904104,368709.31075014704,324405.35254190746
,10.0,2026.0,,,,273221.0725350242,259673.8538542919,270463.0537080369,268579.38177223294,267935.8078444782
,11.0,2026.0,,,,269966.96143256006,257965.45621200086,270463.0537080369,258244.59347148178,264090.5368621119
,12.0,2026.0,,,,190151.37222872625,137153.48024729008,141468.54927318922,124424.68134265987,146375.42980296043
